lignin,Chitin,Lipids,Cellulose,Hemicellulose,Polysaccharides,Aminosugars,Disaccharides,Monosaccharides,PCM,MBC,SOC,POC,pH,EC,SWC,BD,C/N
0.906743637,0.703242861,0.802964346,0.751665566,0.871376391,0.855711221,0.663656443,0.864835555,0.895295232,159.52,184.8292683,7.58,0.906641,8.31,0.857,18.42969261,1.21502943,6.213114754
0.962993243,0.782451341,0.673673477,0.765453078,0.867166843,0.851123681,0.870918234,0.802636472,0.800717292,141.6,164.8292683,7.55,0.7361555,8.61,0.779,17.21918588,1.187773045,7.259615385
0.994493022,0.91839022,0.925450433,0.847685734,0.991582366,0.93019129,1.084460686,0.904447833,0.881875389,132.74,205.0731707,7.7,1.12115,8.27,0.777,18.07449974,1.17575194,6.875
0.908993622,1.104637188,1.177227389,1.121712519,0.932648697,1.019513401,0.979783014,1.025284795,0.997861174,191.62,251.1707317,9.56,1.2737946,8.57,0.803,17.23778386,1.06524635,6.638888889
0.875243858,0.868082131,0.809769129,0.8727987,0.906923683,0.883236464,0.705527512,0.91064335,0.940667082,167.66,221.1707317,9.25,1.1326188,8.64,0.783,18.45655051,1.105706284,6.801470588
0.893243732,0.903404832,0.768940433,0.967095429,0.896633677,0.9434142,0.900227983,0.939767155,0.963033486,187.34,273.6097561,9.71,1.49576,8.59,0.876,17.64520129,1.069982576,7.5859375
0.911243606,1.014724858,0.945864781,1.006242113,1.029468296,1.012497163,0.929537731,1.049676592,1.060167587,288.56,260.9268293,9.54,1.46,8.45,0.793,15.53309108,1.112727292,6.913043478
0.935993432,1.017936013,1.143203476,1.037510218,0.998598279,0.964732771,0.983970121,0.975769448,1.004251575,204.87,217.0243902,10.66,1.24,8.45,0.735,17.12954063,1.07479966,7.790322581
0.947243353,0.965487154,1.102374781,1.037510218,1.005146465,1.025450218,0.919069964,1.035041514,0.977411889,210.6,260.9268293,9.16,1.52,8.58,0.833,17.82568217,1.108960184,6.992366412
1.079992422,1.137819119,1.190836955,1.011412429,1.00608192,0.990908737,1.352435528,0.94947509,0.959838286,444.8,831.6585366,12.15,1.69,8.22,1.106,17.22863875,1.060256307,7.641509434
1.010242911,0.981542927,0.89142652,0.984329818,0.990179184,0.962304073,0.963034586,0.985282248,0.97932901,360.78,275.5609756,12.8,1.54,8.49,0.932,17.86748966,1.075483494,7.596439169
1.039492706,1.00188024,0.884621738,1.008950374,0.974276448,1.026259784,0.960941033,1.01421092,1.001695415,504.13,699.9512195,14.36,1.5,8.47,1.071,16.87901626,1.066342944,8.06741573
